Location_Name,Specific Location,Location_Address,Location_City,Location_State,Location_Zip,Location_County,Date,Open,Close
Nellis Crossing Shopping Center,Trailer,1300 S Nellis Blvd,Las Vegas,NV,89104,Clark,10/22/12,9am,7pm
Sak n Save Food Store,,1903 Silverada Blvd,Reno,NV,89514,Washoe,10/22/12,9am,6pm
Scolaris Store #18,,3312 S McCarran Blvd,Reno,NV,89504,Washoe,10/22/12,9am,6pm
Scolaris Store #19,,202 Lemmon Drive,Reno,NV,89508,Washoe,10/22/12,9am,6pm
Scolaris Store #20,,8167 S Virginia St,Reno,NV,89513,Washoe,10/22/12,9am,6pm
Scolaris Store #24,,4790 Caughlin Pkwy,Reno,NV,89521,Washoe,10/22/12,9am,6pm
Scolaris Store #26,,1302 Disc Dr,Sparks,NV,89436,Washoe,10/22/12,9am,6pm
Scolaris Store #28,,6257 Sharlands Ave,Reno,NV,89525,Washoe,10/22/12,9am,6pm
Siena Town Center,Trailer,10170 W. Tropicana Ave,Las Vegas,NV,89148,Clark,10/22/12,9am,7pm
Silverado Ranch Plaza, Trailer in Parking Lot by PetSmart,9727 South Eastern Avenue,Las Vegas,NV,89183,Clark,10/22/12,9am,7pm
Aliante Library,,2400 W Deer Springs Way,North Las Vegas,NV,89084,Clark,10/23/12,10:30am,8pm
Boulevard Mall,"""East Events Area"" near rear (EAST) Mall Entrance",3531 S. Maryland Pkwy. ,Las Vegas,NV,89149,Clark,10/23/12,10am,8pm
Galleria at Sunset ,"Kohl's Court, 1st Floor ",1303 W. Sunset Rd.,Henderson,NV,89014,Clark,10/23/12,10am,8pm
Las Vegas Premium Outlets South,Customer Service Food Court ,7403 S Las Vegas Blvd,Las Vegas,NV,89123,Clark,10/23/12,10am,7pm
Meadows Mall,"Sears Court, 1st Floor ",4303 Meadows Lane,Las Vegas,NV,89107,Clark,10/23/12,10am,8pm
Paseo Verde Library,,280 South Green Valley Parkway,Henderson,NV,89012,Clark,10/23/12,10am,8pm
Sahara West Library,,9600 West Sahara Avenue,Las Vegas,NV,89117,Clark,10/23/12,10am,7pm
Sunrise Library,,5400 Harris Ave,Las Vegas,NV,89110,Clark,10/23/12,10am,7pm
West Flamingo Senior Center,,6255 West Flamingo Road,Las Vegas,NV,89103,Clark,10/23/12,8:30am,5:30pm
Clark County Government Center Regional Transportation Commission (RTC) Bldg.,RTC Council Chambers ,603 S. Grand Central Pkwy. ,Las Vegas,NV,89106,Clark,10/23/12,8am,6pm
Las Vegas Athletic Club ,Trailer by Club Entrance ,5203 W. Sahara Ave. ,Las Vegas,NV,89146,Clark,10/23/12,8am,6pm
North Las Vegas City Hall,,2250 Las Vegas Boulevard North,North Las Vegas,NV,89030,Clark,10/23/12,8am,5pm
Solera Anthem Community Center,,2401 Somersworth Dr,Henderson,NV,89044,Clark,10/23/12,8am,6pm
UNLV Lied Library,On Cross streets of E Harmon Ave & Gym Dr. Behind Thomas & Mack Center,4505 South Maryland Parkway,Las Vegas,NV,89154,Clark,10/23/12,8am,5pm
Vons Las Palmas Village,Trailer,475 East Windmill Lane,Henderson,NV,89123,Clark,10/23/12,8am,6pm
Arroyo Market Square,Trailer,7200 Arroyo Crossing Parkway,Las Vegas,NV,89113,Clark,10/23/12,9am,7pm
Centennial Center,Trailer in Parking Lot Near Petco ,5768 Centennial Center Boulevard,Las Vegas,NV,89169,Clark,10/23/12,9am,7pm
East Las Vegas Community Center,Room 139B,253 North Eastern Avenue,Las Vegas,NV,89101,Clark,10/23/12,9am,6pm
Las Vegas Strip Site/Mirage Casino ,"Trailer behind the Mirage Hotel/Casino, Enter at the ""Mirage Entrance #1"" Sign",3403 Las Vegas Blvd. S.,Las Vegas,NV,89109,Clark,10/23/12,9am,7pm
Lone Mountain Plaza,Trailer in Parking Lot,4909 West Lone Mountain Road,Las Vegas,NV,89130,Clark,10/23/12,9am,7pm
Nellis Crossing Shopping Center,Trailer,1300 S Nellis Blvd,Las Vegas,NV,89104,Clark,10/23/12,9am,7pm
Sak n Save Food Store,,1904 Silverada Blvd,Reno,NV,89515,Washoe,10/23/12,9am,6pm
Scolaris Store #18,,3313 S McCarran Blvd,Reno,NV,89505,Washoe,10/23/12,9am,6pm
Scolaris Store #19,,203 Lemmon Drive,Reno,NV,89509,Washoe,10/23/12,9am,6pm
Scolaris Store #20,,8168 S Virginia St,Reno,NV,89514,Washoe,10/23/12,9am,6pm
Scolaris Store #24,,4791 Caughlin Pkwy,Reno,NV,89522,Washoe,10/23/12,9am,6pm
Scolaris Store #26,,1303 Disc Dr,Sparks,NV,89437,Washoe,10/23/12,9am,6pm
Scolaris Store #28,,6258 Sharlands Ave,Reno,NV,89526,Washoe,10/23/12,9am,6pm
Silver Mesa Recreation Center,,4025 Allen Ln,North Las Vegas,NV,89032,Clark,10/23/12,9am,7pm
Silverado Ranch Plaza, Trailer in Parking Lot by PetSmart,9728 South Eastern Avenue,Las Vegas,NV,89183,Clark,10/23/12,9am,7pm
Southern Highlands Marketplace,Trailer,10600 Southern Highlands Parkway,Las Vegas,NV,89141,Clark,10/23/12,9am,7pm
Alexander Library,,1755 West Alexander Road,North Las Vegas,NV,89032,Clark,10/24/12,10:30am,8pm
Boulevard Mall,"""East Events Area"" near rear (EAST) Mall Entrance",3532 S. Maryland Pkwy. ,Las Vegas,NV,89149,Clark,10/24/12,10am,8pm
Galleria at Sunset ,"Kohl's Court, 1st Floor ",1304 W. Sunset Rd.,Henderson,NV,89014,Clark,10/24/12,10am,8pm
Las Vegas Premium Outlets South,Customer Service Food Court ,7404 S Las Vegas Blvd,Las Vegas,NV,89123,Clark,10/24/12,10am,7pm
Meadows Mall,"Sears Court, 1st Floor ",4304 Meadows Lane,Las Vegas,NV,89107,Clark,10/24/12,10am,8pm
Paseo Verde Library,,280 South Green Valley Parkway,Henderson,NV,89012,Clark,10/24/12,10am,8pm
Sahara West Library,,9600 West Sahara Avenue,Las Vegas,NV,89117,Clark,10/24/12,10am,7pm
Searchlight Community Center,,200 Michael Wendell Way,Searchlight,NV,89046,Clark,10/24/12,10am,3pm
Sunrise Library,,5400 Harris Ave,Las Vegas,NV,89110,Clark,10/24/12,10am,7pm
Whitney Library,,5175 East Tropicana Avenue,Las Vegas,NV,89122,Clark,10/24/12,10am,7pm
Winchester Cultural Center,,3130 McLeod Drive,Las Vegas,NV,89121,Clark,10/24/12,10am,8pm
Alberstons Cheyenne & Rampart,,8350 West Cheyenne Ave.,Las Vegas,NV,89129,Clark,10/24/12,8am,6pm
Clark County Government Center Regional Transportation Commission (RTC) Bldg.,RTC Council Chambers ,604 S. Grand Central Pkwy. ,Las Vegas,NV,89106,Clark,10/24/12,8am,6pm
Las Vegas Athletic Club ,Trailer by Club Entrance ,5204 W. Sahara Ave. ,Las Vegas,NV,89146,Clark,10/24/12,8am,6pm
Spirit Mountain Activity Center,,1975 Arie,Laughlin,NV,89029,Clark,10/24/12,8am,6pm
UNLV Lied Library,On Cross streets of E Harmon Ave & Gym Dr. Behind Thomas & Mack Center,4505 South Maryland Parkway,Las Vegas,NV,89154,Clark,10/24/12,8am,5pm
Arroyo Market Square,Trailer,7200 Arroyo Crossing Parkway,Las Vegas,NV,89113,Clark,10/24/12,9am,7pm
Centennial Center,Trailer in Parking Lot Near Petco ,5769 Centennial Center Boulevard,Las Vegas,NV,89169,Clark,10/24/12,9am,7pm
East Las Vegas Community Center,Room 139B,254 North Eastern Avenue,Las Vegas,NV,89101,Clark,10/24/12,9am,6pm
Las Vegas Strip Site/Mirage Casino ,"Trailer behind the Mirage Hotel/Casino, Enter at the ""Mirage Entrance #1"" Sign",3404 Las Vegas Blvd. S.,Las Vegas,NV,89109,Clark,10/24/12,9am,7pm
Lone Mountain Plaza,Trailer in Parking Lot,4910 West Lone Mountain Road,Las Vegas,NV,89130,Clark,10/24/12,9am,7pm
Pecos Plaza ,Trailer,3375 East Tropicana Avenue,Las Vegas,NV,89121,Clark,10/24/12,9am,7pm
Sak n Save Food Store,,1905 Silverada Blvd,Reno,NV,89516,Washoe,10/24/12,9am,6pm
Scolaris Store #18,,3314 S McCarran Blvd,Reno,NV,89506,Washoe,10/24/12,9am,6pm
Scolaris Store #19,,204 Lemmon Drive,Reno,NV,89510,Washoe,10/24/12,9am,6pm
Scolaris Store #20,,8169 S Virginia St,Reno,NV,89515,Washoe,10/24/12,9am,6pm
Scolaris Store #24,,4792 Caughlin Pkwy,Reno,NV,89523,Washoe,10/24/12,9am,6pm
Scolaris Store #26,,1304 Disc Dr,Sparks,NV,89438,Washoe,10/24/12,9am,6pm
Scolaris Store #28,,6259 Sharlands Ave,Reno,NV,89527,Washoe,10/24/12,9am,6pm
Silver Mesa Recreation Center,,4025 Allen Ln,North Las Vegas,NV,89032,Clark,10/24/12,9am,7pm
Silverado Ranch Plaza, Trailer in Parking Lot by PetSmart,9729 South Eastern Avenue,Las Vegas,NV,89183,Clark,10/24/12,9am,7pm
Southern Highlands Marketplace,Trailer,10600 Southern Highlands Parkway,Las Vegas,NV,89141,Clark,10/24/12,9am,7pm
Alexander Library,,1755 West Alexander Road,North Las Vegas,NV,89032,Clark,10/25/12,10:30am,8pm
Boulevard Mall,"""East Events Area"" near rear (EAST) Mall Entrance",3533 S. Maryland Pkwy. ,Las Vegas,NV,89149,Clark,10/25/12,10am,8pm
Galleria at Sunset ,"Kohl's Court, 1st Floor ",1305 W. Sunset Rd.,Henderson,NV,89014,Clark,10/25/12,10am,8pm
Las Vegas Premium Outlets South,Customer Service Food Court ,7405 S Las Vegas Blvd,Las Vegas,NV,89123,Clark,10/25/12,10am,7pm
Meadows Mall,"Sears Court, 1st Floor ",4305 Meadows Lane,Las Vegas,NV,89107,Clark,10/25/12,10am,8pm
Sahara West Library,,9600 West Sahara Avenue,Las Vegas,NV,89117,Clark,10/25/12,10am,7pm
Whitney Library,,5175 East Tropicana Avenue,Las Vegas,NV,89122,Clark,10/25/12,10am,7pm
Alberstons Cheyenne & Rampart,,8350 West Cheyenne Ave.,Las Vegas,NV,89129,Clark,10/25/12,8am,6pm
Albertsons Ann & Drexel,,7075 West Ann Road,Las Vegas,NV,89130,Clark,10/25/12,8am,6pm
Albertsons Tropicana & Jones,,5975 W. Tropicana Avenue,Las Vegas,NV,89103,Clark,10/25/12,8am,6pm
Clark County Government Center Regional Transportation Commission (RTC) Bldg.,RTC Council Chambers ,605 S. Grand Central Pkwy. ,Las Vegas,NV,89106,Clark,10/25/12,8am,6pm
Las Vegas Athletic Club ,Trailer by Club Entrance ,5205 W. Sahara Ave. ,Las Vegas,NV,89146,Clark,10/25/12,8am,6pm
UNLV Lied Library,On Cross streets of E Harmon Ave & Gym Dr. Behind Thomas & Mack Center,4505 South Maryland Parkway,Las Vegas,NV,89154,Clark,10/25/12,8am,5pm
Albertsons Horizon Ridge & Eastern,,2650 West Horizon Ridge,Henderson,NV,89052,Clark,10/25/12,9am,7pm
Albertsons Lake Mead & Boulder,,190 North Boulder Highway,Henderson,NV,89015,Clark,10/25/12,9am,7pm
Centennial Center,Trailer in Parking Lot Near Petco ,5770 Centennial Center Boulevard,Las Vegas,NV,89169,Clark,10/25/12,9am,7pm
East Las Vegas Community Center,Room 139B,255 North Eastern Avenue,Las Vegas,NV,89101,Clark,10/25/12,9am,6pm
Food 4 Less North Nellis,,1955 North Nellis Boulevard,Las Vegas,NV,89115,Clark,10/25/12,9am,7pm
Las Vegas Strip Site/Mirage Casino ,"Trailer behind the Mirage Hotel/Casino, Enter at the ""Mirage Entrance #1"" Sign",3405 Las Vegas Blvd. S.,Las Vegas,NV,89109,Clark,10/25/12,9am,7pm
Lone Mountain Plaza,Trailer in Parking Lot,4911 West Lone Mountain Road,Las Vegas,NV,89130,Clark,10/25/12,9am,7pm
Lowe's Home Improvement Parking Lot,Trailer,2570 E Craig Rd,Las Vegas,NV,89030,Clark,10/25/12,9am,7pm
Pecos Plaza ,Trailer,3375 East Tropicana Avenue,Las Vegas,NV,89121,Clark,10/25/12,9am,7pm
Sak n Save Food Store,,1906 Silverada Blvd,Reno,NV,89517,Washoe,10/25/12,9am,6pm
Scolaris Store #18,,3315 S McCarran Blvd,Reno,NV,89507,Washoe,10/25/12,9am,6pm
Scolaris Store #19,,205 Lemmon Drive,Reno,NV,89511,Washoe,10/25/12,9am,6pm
Scolaris Store #20,,8170 S Virginia St,Reno,NV,89516,Washoe,10/25/12,9am,6pm
Scolaris Store #24,,4793 Caughlin Pkwy,Reno,NV,89524,Washoe,10/25/12,9am,6pm
Scolaris Store #26,,1305 Disc Dr,Sparks,NV,89439,Washoe,10/25/12,9am,6pm
Scolaris Store #28,,6260 Sharlands Ave,Reno,NV,89528,Washoe,10/25/12,9am,6pm
Silverado Ranch Plaza, Trailer in Parking Lot by PetSmart,9730 South Eastern Avenue,Las Vegas,NV,89183,Clark,10/25/12,9am,7pm
Southern Highlands Marketplace,Trailer,10600 Southern Highlands Parkway,Las Vegas,NV,89141,Clark,10/25/12,9am,7pm
Boulevard Mall,"""East Events Area"" near rear (EAST) Mall Entrance",3534 S. Maryland Pkwy. ,Las Vegas,NV,89149,Clark,10/26/12,10am,8pm
Galleria at Sunset ,"Kohl's Court, 1st Floor ",1306 W. Sunset Rd.,Henderson,NV,89014,Clark,10/26/12,10am,8pm
Las Vegas Premium Outlets South,Customer Service Food Court ,7406 S Las Vegas Blvd,Las Vegas,NV,89123,Clark,10/26/12,10am,7pm
Meadows Mall,"Sears Court, 1st Floor ",4306 Meadows Lane,Las Vegas,NV,89107,Clark,10/26/12,10am,8pm
Alberstons Cheyenne & Rampart,,8350 West Cheyenne Ave.,Las Vegas,NV,89129,Clark,10/26/12,8am,6pm
Albertsons Ann & Drexel,,7075 West Ann Road,Las Vegas,NV,89130,Clark,10/26/12,8am,6pm
Albertsons Eastern & Warm Springs,,7271 S. Eastern Avenue,Las Vegas,NV,89119,Clark,10/26/12,8am,6pm
Albertsons Tropicana & Jones,,5975 W. Tropicana Avenue,Las Vegas,NV,89103,Clark,10/26/12,8am,6pm
Las Vegas Athletic Club ,Trailer by Club Entrance ,5206 W. Sahara Ave. ,Las Vegas,NV,89146,Clark,10/26/12,8am,6pm
Albertsons Charleston Town Center,,10250 West Charleston Blvd,Las Vegas,NV,89135,Clark,10/26/12,9am,7pm
Albertsons Horizon Ridge & Eastern,,2650 West Horizon Ridge,Henderson,NV,89052,Clark,10/26/12,9am,7pm
Albertsons Lake Mead & Boulder,,190 North Boulder Highway,Henderson,NV,89015,Clark,10/26/12,9am,7pm
Centennial Center,Trailer in Parking Lot Near Petco ,5771 Centennial Center Boulevard,Las Vegas,NV,89169,Clark,10/26/12,9am,7pm
Food 4 Less North Nellis,,1955 North Nellis Boulevard,Las Vegas,NV,89115,Clark,10/26/12,9am,7pm
Lakes Lutheran Church,,8200 West Sahara Avenue,Las Vegas,NV,89117,Clark,10/26/12,9am,7pm
Las Vegas Strip Site/Mirage Casino ,"Trailer behind the Mirage Hotel/Casino, Enter at the ""Mirage Entrance #1"" Sign",3406 Las Vegas Blvd. S.,Las Vegas,NV,89109,Clark,10/26/12,9am,7pm
Lone Mountain Plaza,Trailer in Parking Lot,4912 West Lone Mountain Road,Las Vegas,NV,89130,Clark,10/26/12,9am,7pm
Lowe's Home Improvement Parking Lot,Trailer,2570 E Craig Rd,Las Vegas,NV,89030,Clark,10/26/12,9am,7pm
Pecos Plaza ,Trailer,3375 East Tropicana Avenue,Las Vegas,NV,89121,Clark,10/26/12,9am,7pm
Sak n Save Food Store,,1907 Silverada Blvd,Reno,NV,89518,Washoe,10/26/12,9am,6pm
Scolaris Store #18,,3316 S McCarran Blvd,Reno,NV,89508,Washoe,10/26/12,9am,6pm
Scolaris Store #19,,206 Lemmon Drive,Reno,NV,89512,Washoe,10/26/12,9am,6pm
Scolaris Store #20,,8171 S Virginia St,Reno,NV,89517,Washoe,10/26/12,9am,6pm
Scolaris Store #24,,4794 Caughlin Pkwy,Reno,NV,89525,Washoe,10/26/12,9am,6pm
Scolaris Store #26,,1306 Disc Dr,Sparks,NV,89440,Washoe,10/26/12,9am,6pm
Scolaris Store #28,,6261 Sharlands Ave,Reno,NV,89529,Washoe,10/26/12,9am,6pm
Silverado Ranch Plaza, Trailer in Parking Lot by PetSmart,9731 South Eastern Avenue,Las Vegas,NV,89183,Clark,10/26/12,9am,7pm
Vons - Trails Village Ctr. ,Trailer,1970 Village Center Circle,Las Vegas,NV,89134,Clark,10/26/12,9am,7pm
Boulevard Mall,"""East Events Area"" near rear (EAST) Mall Entrance",3535 S. Maryland Pkwy. ,Las Vegas,NV,89149,Clark,10/27/12,10am,9pm
East Las Vegas Community Center,Room 139B,257 North Eastern Avenue,Las Vegas,NV,89101,Clark,10/27/12,10am,6pm
Galleria at Sunset ,"Kohl's Court, 1st Floor ",1307 W. Sunset Rd.,Henderson,NV,89014,Clark,10/27/12,10am,9pm
Las Vegas Athletic Club ,Trailer by Club Entrance ,5207 W. Sahara Ave. ,Las Vegas,NV,89146,Clark,10/27/12,10am,6pm
Las Vegas Premium Outlets South,Customer Service Food Court ,7407 S Las Vegas Blvd,Las Vegas,NV,89123,Clark,10/27/12,10am,7pm
Meadows Mall,"Sears Court, 1st Floor ",4307 Meadows Lane,Las Vegas,NV,89107,Clark,10/27/12,10am,9pm
Chinatown Plaza,,"4215 Spring Mountain Road,",Las Vegas,NV,89102,Clark,10/27/12,11am,6pm
Albertsons  Craig & Tenya,,7151 West Craig Road,Las Vegas,NV,89129,Clark,10/27/12,8am,6pm
Albertsons Blue Diamond and Decatur,,4800 Blue Diamond Road,Las Vegas,NV,89139,Clark,10/27/12,8am,6pm
Albertsons Eastern & Warm Springs,,7271 S. Eastern Avenue,Las Vegas,NV,89119,Clark,10/27/12,8am,6pm
Food 4 Less Bonanza & Pecos,,3602 East Bonanza Road,Las Vegas,NV,89110,Clark,10/27/12,8am,6pm
