organizationid,organization name,address,zip5,zip4
925,Sylvia Ann's Boutique,1100 N Martin Luther King Ste B,89052,    
1978,El Cazador Mexican Sea Food,1108 E Lake Mead Blvd,89030,8300
1934,St. Frances de Sales,1111 N Michael Way,89108,1418
1513,St. Francis de Sales,1111 N Michael Way,89108,1418
989,Futon- Ya,1111 Steamboat Pkwy Ste 430,89521,5191
1115,City Nails,1111 Steamboat Pkwy Ste 440,89521,5191
1422,Cadillac Lounge,1114 E 4th St,89512,3506
1173,Magic Wash Laundromat,1120 S Decatur Blvd,89102,8507
672,Dona Norma Restaurante Nicaraguense,1122 S Maryland Pkwy,89104,1726
2098,Nevada State College,1125 Nevada State Dr,89002,9455
981,Vino 100,1131 Steamboat Pkwy Ste 830,89521,4170
853,High Sierra Cycling,1141 Steamboat Pkwy Ste 920,89521,4171
979,Lamppost Pizza,1141 Steamboat Pkwy Ste 930,     ,    
747,Party USA,1150 S Nellis Blvd,89104,5700
1139,Pizza Barron,1155 W 4th St Ste 113,89503,5148
1140,Pizza Barron,1155 W 4th St Ste 113,89503,5148
1175,Dandelion Deli,1170 S Wells Ave Ste 2,89502,2582
797,Golden Curl Hair Salon,1171 S Buffalo Dr,89117,8316
795,Sylvan Learning,1181 S Buffalo Dr Ste 120,89117,8312
790,Summerlin Dance Academy,1181 S Buffalo Dr Ste 130,89117,8318
1038,Black Hair 2001,1200 N Martin L King Blvd,89106,2825
1030,Supreme Kutz,1201 N Decatur Blvd,89108,1222
1052,Today Nails,1207 E Sahara Ave,89104,3402
1130,Sundance Books and Music,121 California Ave,89509,1620
749,Hair and Nails Zone,1212 S Nellis Blvd,89104,5752
1245,Al's Donuts,1220 E Harmon Ave Ste D,89119,5940
637,Cazares,123 Main St,89101,    
661,taqueria toritos,123 S Main St,89101,6370
2084,Agencia de Viajes,1233 S Eastern Ave,89104,2040
662,Mario's Pizza,1234 Main St,89183,    
1172,Ballpark Market,125 W Moana Ln,89509,4904
758,Susie's Deals,1252 -1256 S Nellis Blvd,89110,    
2052,El Tarazco (mec?nica en general),1266 N Nellis Blvd,89110,5312
2051,Trasmisiones Automotrices,1266 N Nellis Blvd,89110,5312
994,Game Force,1280 E Plub Ln # A,89502,    
1194,Hollylocks,1280 E Plumb Ln,89502,3694
2033,Performence Eng.,1282 N Nellis Blvd,89110,5312
755,Inn Zone,1288 S Nellis Blvd,89104,5782
1192,The Niche,1290 E Plumb Ln,89502,3695
1235,Asian Noodle Bar,1290 E Plumb Ln # 1,89502,3695
1220,DJ Comic Kingdom,1300 E Plumb Ln Ste B1,89502,3696
1228,Shampoo Hair Saloon,1300 E Plumb Ln Ste C4,89502,3670
1524,St. Joseph Catholic Church,131 N 9th St,89101,4225
992,Paperback Exchange,131 Vesta St,89502,2913
1984,Fernandos Botas Exoticas,1310 E Lake Mead Blvd,89030,7121
1959,J-D Computers,1310 E Lake Mead Blvd,89030,7121
1236,La Minerva,1311 W Craig Rd Ste A,89032,253
2032,Tacos La Do?a,1313 E Webb Ave,89030,7098
2035,Auto Works,1314 N Nellis Blvd,89110,6006
2034,Frenos Services,1314 N Nellis Blvd,89110,6006
933,Head Masters,1351 W Owens Ave,89106,2432
934,Westside Smoke and Choke,1363 W Owens Ave,89106,2432
2036,Llantera Services,1394 N Nellis Blvd,89110,5337
2050,Llantera V.P.,1395 N Nellis Blvd,89110,5314
858,Order Express Inc,1399 S Wells Ave,89502,2922
1949,Las Vegas Shuttles,1404 N Eastern Ave,89101,1553
835,art javier tax and financial services,1405 E Charleston Blvd,89104,1723
2083,Venta de Estereos & Alarmas,1411 N Eastern Ave,89101,1508
825,herbalife,1412 E Charleston Blvd,89104,1705
822,manila market,1416 E Charleston Blvd,89104,1705
1950,La Michoacana,1424 N Eastern Ave,89101,1553
841,edwards travel,1426 E Charleston Blvd,89104,1751
843,goto pares atbp,1428 E Charleston Blvd,89104,1705
1491,Iglesia de Dios Luz en Las Vegas a las Naciones,1431 E Charleston Blvd Apt E,89104,1735
2093,Corte y Tintes,1434 E Charleston Blvd,89104,1705
1937,Victoria's Beauty Salon,1434 Victorian Ave,89431,4897
1202,Que Mas Cafe,1435 W Craig Rd,89032,250
845,kapampangan restaurant buffet,1436 E Charleston Blvd,89104,1705
838,iphone doctor,1444 E Charleston Blvd,89104,1705
940,Quick Mart Accessories,1445 Martin Luther King Blvd # 100,89032,    
679,Classic Cuts,1445 W Alexander Rd Ste 105,89032,9097
1096,Los Cuatro Vientos,145 Casazza Dr,89502,3312
1260,art javier tax and financial services,1450 E Charleston Blvd,89104,1705
1167,art javier tax and financial services,1450 E Charleston Blvd,89104,1705
1166,810 insurances and services llc,1452 E Charleston Blvd,89104,1705
1165,810 insurances and services llc,1452 E Charleston Blvd,89104,1705
1171,marias beauty salon,1454 E Charleston Blvd,89104,1705
827,audio sound mobile electronics,1464 E Charleston Blvd,89104,1706
1505,Southern Nevada Baptist Association,1482 E University Ave,89119,5866
2039,Trasmisiones Automotriz Diaz,1498 N Nellis Blvd,89110,5528
2038,Mec?nica Automotriz,1498 N Nellis Blvd Ste 100,89110,5529
1991,Beauty Salon,1499 N Lamb Blvd,89110,1386
1007,Brooklyn Bagel Deli,1500 N Green Valley Pkwy,89074,6175
611,Marketon,1500 S Wells Ave,89502,2919
1191,Zephyr Books,1501 S Virginia St,89502,2807
1417,Rainbow Market,1501 Vassar St,89502,2776
1091,Apple Core Tattoo,1507 S Wells Ave,89502,2988
1177,Eagle Framing & Art Gallery,1510 S Wells Ave,89502,2949
782,La Palapa,1515 N Eastern Ave,89101,1512
720,Everlasting Health Center,1515 S Virginia St,89502,    
1989,La Choza Mexican Restaurant,1520 N Eastern Ave Ste 117,89101,1505
1210,Beautiful Nails,1525 S Virginia St,89502,2807
1181,Corrigan's Bit O'Ireland,1526 S Wells Ave,89502,2949
991,Plato's Closet,1535 S Virginia St,89502,2807
993,Spa of the West,1545 S Virginia St,89502,2819
998,Reno Mountain Sports,155 E Moana Ln,89502,4212
1216,Pink Puff Salon,1555 S Virginia St,89502,2819
1962,Auto Accesorios Sondoval,1560 N Eastern Ave,89101,1593
1977,Venta des discos y equipo musical,1560 N Eastern Ave,89101,1593
1203,Bra's Plus,1563 S Virginia St,89502,2819
1200,Coach's Sports Bar,1573 S Virginia St,89502,2819
978,Sports West Athletic Club,1575 S Virginia St,89502,2819
723,PJ & Co.,1590 S Wells Ave,89502,2949
1500,Iglesia Bautista a La Gran Comision,1600 E Oakey Blvd,89104,3334
1034,Pit Boss Grill,1600 N Martin L King Blvd,89106,2100
1188,"Sierra Repair, Inc.",1600 S Wells Ave,89502,3305
2091,Agencia Publicitaria,1615 S Eastern Ave,89104,3932
2090,Imprenta,1615 S Eastern Ave,89104,3932
1971,Acapulco Travel Tours,1616 Civic Center Dr,89030,7256
1300,Pearson Community Center,1625 W Carey Ave,89032,3784
609,Einstin Brothers Bagels,1644 N Virginia St,89503,703
1168,Bienestar Familiar,1715 S Wells Ave,89502,3306
1185,Don't Barber Shop,1717 Locust St,89502,3335
1092,Express Insurance LLC,175 Casazza Dr,89502,3312
820,Attractive Nails,1750 N Buffalo Dr,89128,2672
823,C C Cleaners,1750 N Buffalo Dr,89128,2672
806,Golden Trade,1750 N Buffalo Dr,89128,2672
815,discount smoke and gifts,1750 N Buffalo Dr,89128,2672
805,COMMUNITY BENEFITS CONSORTIUM,1771 E Flamingo Rd Ste 118B,89119,5158
817,beach pizza,1780 N Buffalo Dr,89128,2674
802,mi tiera,1780 N Buffalo Dr,89128,2674
2068,Advance Mufflers,1786 N Nellis Blvd,89115,6631
1098,Wells Mart,1790 S Wells Ave,89502,3307
1527,St. Elizabeth Ann Seton Catholic Church,1811 Pueblo Vista Dr,89128,2701
2103,La Vitrola Centro Botanero,1815 E Charleston Blvd,89104,1936
1512,St. Christopher Catholic Church,1840 N Bruce St,89030,6904
1160,Mariah's Fashion,1855 El Rancho Dr,89431,8528
721,Studio 8 Yoga,190 California Ave Ste 201B,89509,1660
1297,Rancho High School,1900 Searles Ave,89101,1201
1511,St. Anne Catholic Church,1901 S Maryland Pkwy,89104,3109
2107,Las Vegas Soccer Store,1907 E Charleston Blvd,89104,1942
986,Sushi Pier,1920 E Plumb Ln,89502,    
1523,St. James the Apostle Catholic Church,1920 N Martin L King Blvd,89106,2108
781,Best Kept Secret,1930 Village Center Cir,89134,6299
779,Dreamalot Baby,1930 Village Center Cir Ste 1,89134,6238
783,mallinger family eye care center,1930 Village Center Cir Ste 10,89134,6238
778,enjoy party supply,1930 Village Center Cir Ste 5,89134,6238
787,Bogart's Bone-Appetit,1930 Village Ste 7,89134,    
2080,Latin Glass,1937 N Nellis Blvd,89115,3647
1037,Mario's Westside Market,1960 N Martin L King Blvd,89106,2108
1432,Sachan Corporation,1983 Quintearo St,89115,6334
1196,Andy's Lock & Key,199 E Plumb Ln,89502,3413
1132,tracy's,1990 Village Center Cir,89134,6242
1135,posh daisie,1990 Village Center Cir Ste 3,89134,6242
1141,thyme in the kitchen,1990 Village Center Cir Ste 4,89134,6242
1197,Stone Age Quarry,2002 B E Plumb Ln,89502,    
1231,Quality Floors 4 Less,2002 Harvard Way,89502,4005
1222,Reno & Truckee Paint Mart,201 E Moana Ln,89502,4658
2094,Sastrer?a,2021 Industrial Rd,89102,4609
924,Cottons Mini Mart,2027 Revere St,89106,2349
1514,St. Peters the Apostle Catholic Church,204 S Boulder Hwy,89015,7504
1291,Old School Pizzeria,2040 E Craig Rd Ste 101,89030,921
2081,Restaurant Arandas,2040 N Nellis Blvd,89115,5507
995,Tease Beauty Lounge,205 Moana Ln,89509,    
1178,Big Bundles Laundromat,2071 N Jones Blvd,89108,3348
1474,Calvary Chapel Vida Nueva,2075 N Lamb Blvd,89115,5406
2088,Taller de Carrocer?a,210 W Wyoming Ave,89102,2721
1148,Club Sport,2100 Olympic Ave,89014,    
1969,La Corona Furniture,2111 Civic Center Dr,89030,6300
1520,Our Lady of Wisdom Byzantine Catholic Curch,2120 Lindell Rd,89146,387
1133,Ricco's Pizza,2145 Sutro St Ste 11,89512,2487
1134,Casa Madai,2145 Sutro St Ste 3,89512,2486
1159,Camicena Toes Amigos,2145 Sutro St Ste 4,89512,2486
717,Carniceria Tres Amigos,2145 Sutro St Ste 4,89512,2486
716,Lupita's Beauty Salon,2145 Sutro St Ste 4,89512,2486
715,Panaderia Azteca,2145 Sutro St Ste 6,89512,2487
1136,Video Center,2145 Sutro St Ste 7,89512,2487
1526,St. Bridget Catholic Church,220 N 14th St,89101,4312
763,Scrapbook Kyandyland,2208 S Nellis Blvd,89104,6211
735,La Costa Del Sol,2208 S Nellis Blvd,89104,6211
765,Great Clips,2208 S Nellis Blvd Ste 3,89104,6211
770,Planet Fitness,2216 S Nellis Blvd,89104,6234
800,Sin City Furniture,2223 S Rainbow Blvd,89146,2979
2058,Suarez Tire Shop,2225 N Nellis Blvd,89115,5579
824,solis salon,2227 S Rainbow Blvd,89146,2979
742,Smoke +,2232 S Nellis Blvd,89104,6213
769,Postal & Shipping Services by Max,2232 S Nellis Blvd Ste G3,89104,6213
791,sahara rain family dentistry,2243 S Rainbow Blvd,89146,2979
698,H&H BBQ,2245 Las Vegas Blvd N,89030,5840
773,"Rainbow Laundromat, LLC",2247 Srainbow Blvd,89146,    
766,sling it lacrosse,2249 Srainbow Blvd,89146,    
1521,Saint Gabriel the Archangel Byzantine Catholic Church,2250 E Maule Ave,89119,4607
803,The Tiger Lily Flower Shop,2253 S Rainbow Blvd,89146,2979
739,Super $.99 Center plus,2264 S Nellis Blvd,89104,6234
738,Homeward Bound Tattoo,2272 S Nellis Blvd Ste 132,89104,6216
1293,New Optical Outlook,2280 S Rainbow Blvd,89146,2976
1043,Wash Tub Laundromat,2301 S Maryland Pkwy,89104,3207
1420,168 Cafe,2303 S Virginia St,89502,3416
1299,North Las Vegas Library,2308 N Civic Ctr,89030,    
868,Eternal Beard Shop,235 E Plumb Ln,89502,3441
1954,Mexicana Bakery,235 N Eastern Ave Ste 122,89101,4545
2101,Fidelia's Shoes and Toys,235 N Eastern Ave Ste 131,89101,4545
2105,La Sierra Mexican Restaurant,2350 E Bonanza Rd,89101,3451
1296,Halloween Town,2350 S Rainbow Blvd Ste 1,89146,2815
1264,Blue Plate,236 California Ave,89509,1621
943,self expression salon,2360 S rainbow,89146,    
1028,MariellaExclusive,2375 S Jones Blvd,89146,3169
610,Great Basin Community Food Co-op,240 Court St Reno,89501,1808
777,Babystacks Cafe,2400 N Buffalo Dr,89128,4801
751,Hair Color Xperts,2400 N Buffalo Dr Ste 105,89128,4802
1955,Hollywood Furniture,2401 Searles Ave,89101,1404
1467,Iglesia Obra de Las Vegas,2409 S Eastern Ave,89104,4102
2102,Eastside Cutters,2420 E Bonanza Rd,89101,3452
1095,Autozone,2445 E Tropicana Ave,89121,5416
1076,Las Gorditas,2457 E Tropicana Ave,89121,5417
1529,St. Viator Catholic Church,2461 E Flamingo Rd,89121,5273
1979,Mexican Restaurant,2462 Las Vegas Blvd N,89030,5836
1131,The Cheese Board,247 California Ave,89509,1634
785,Nails Today,2487 E Tropicana Ave,89121,5419
1158,Pepe's Tacos,2490 Fremont St,89104,2202
1067,Jesse's Barber Shop,2491 E Tropicana Ave,89121,5419
710,Silver Saddle,2501 E Charleston Blvd,89104,2302
685,Restaurante Y Pupuseria Cabanas,2520 S Eastern Ave Ste 9,89169,1883
680,Sinaloa Beauty Salon,2520 S Eastern Ave Ste 9,89169,1883
944,Bubbles Auto Spa,2535 S Torrey Pines Dr,89146,    
1457,Iglesia De Dios North Las Vegas,2540 Belmont St,89030,5949
709,Changing Directions,2540 E Charleston Blvd,89104,2323
708,Mystical Ink Tatoo,2544 E Charleston Blvd,89104,2323
2063,Beto's Autorepair,2575 E Lake Mead Blvd,89030,6410
1040,Albertsons,2575 S Maryland Pkwy,89109,1626
707,Ralph Jones Display,2576 E Charleston Blvd,89104,2323
1044,Nail Tips,2585 S Maryland Pkwy Ste C,89109,1697
703,JO-RI Car Service,2586 Meadows Ave,89101,4631
705,Gene's Auto Performance,2586 Meadows Ave # 1,89101,4631
1039,Faith Multi-Services,2595 S Maryland Pkwy Ste 107-A,89109,8305
704,Kevin's Auto Repair,2596 Meadows Ave,89101,4631
664,GQ Cuts,2605 S Decatur Blvd Ste 106,89102,8592
701,Color Copies,2607 E Charleston Blvd,89104,2303
702,La Estetica,2616 E Charleston Blvd,89104,2316
1501,Iglesia De Cristo,2626 N Martin L King Blvd,89032,3747
1983,Los Portales Bakery,2630 E Lake Mead Blvd Ste A,89030,2435
1956,Camaron Pelado Restaurant,2632 E Lake Mead Blvd,89030,6467
728,Quality Shoe Repair,2642 W Horizon Ridge Pkwy Ste A5,89052,2872
1953,Lobo Accesorios,2643 Las Vegas Blvd N,89030,5807
1010,Portfolio,2654 W Horizon Ridge Pkwy A8,89052,    
1009,Paradise Nails,2654 W Horizon Ridge Pkwy B12,89052,    
722,Maple Cleaners #B15,2654 W Horizon Ridge Pkwy,89052,2803
731,Rick's Smoke Shop,2654 W Horizon Ridge Pkwy Ste B13,89052,2858
726,Petique,2654 W Horizon Ridge Pkwy Ste B14,89052,2859
727,Beauty Day Spa,2654 W Horizon Ridge Pkwy Ste B16,89052,2859
1012,Post Net,2654 W Horizon Ridge Pkwy Ste B5,89052,2858
724,Fausto's Mexican Grill,2654 W Horizon Ridge Pkwy Ste B7,89052,2858
1060,Las Vegas Athletic Club,2655 S Maryland Pkwy Ste 201,89109,1646
1161,Jolie Nail Spa,2685 S Eastern Ave,89169,1889
700,Quality Auto Service,2728 E Charleston Blvd,89104,2305
1018,Southwest Aviary,2730 E Sunset Rd,89120,3505
1019,Desert Art Supplies,2750 N Green Valley Pkwy,89014,2120
1020,UPS Store,2756 N Green Valley Pkwy,89014,2120
1117,A Cat Hospital,2758 N Green Valley Pkwy,89014,2120
1190,Sunrise Laundromat,276 N Jones Blvd Ste A,89107,1449
1143,Las Vegas Dance,2762 N Green Valley Pkwy,89014,2120
798,CURVES,2775 S Nellis Blvd,89121,2084
792,NEW YORK CLEANERS,2775 S Nellis Blvd Ste 3,89121,2084
796,RENT A CENTER,2775 S Nellis Blvd Ste 5,89121,2084
1022,Cleaners,2807 N Green Valley Pkwy,89014,401
1002,American Dollar,2815 W Lake Mead Blvd,89032,4900
1153,United Studios of Self Defense,2825 N Green Valley Pkwy,89014,401
1150,Nails,2829 N Green Valley Pkwy,89014,402
696,Mariscos El Diamante,2830 E Charleston Blvd,89104,2307
1118,In Da Cut Barbershop,2831 N Green Valley Pkwy,89014,402
695,Panelized Structures Inc.,2834 E Charleston Blvd,89104,2307
1152,Smoke Shop,2835 N Green Valley Pkwy,89014,402
1023,Psychic Readings,2841 N Green Valley Pkwy,89014,402
1146,Green Valley Coin Laundromat,2843 N Green Valley Pkwy,89014,402
694,Legacy Ice Creme,2850 E Charleston Blvd,89104,2307
799,SUPER CITY DISCOUNT STORE,2875 S Nellis Blvd,89121,2086
804,CRICKET WIRELESS,2875 S Nellis Blvd # A-6,89121,2086
1154,Elite Vitamins,2881 N Green Valley Pkwy,89014,403
1187,Laundry Land East Charleston,2885 E Charleston Blvd,89104,6676
1288,angels beauty salon,2885 E Charleston Blvd,89104,6676
1021,Merle Norman,2887 N Green Valley Pkwy,89014,403
2055,Venta de Llantas & Rines,2920 W Sahara Ave,89102,4347
2076,Radiadores,2925 Las Vegas Blvd N Ste A-B,89030,5758
2077,Radiadores,2925 Las Vegas Blvd N Ste A-B,89030,5758
2075,Radiadores,2925 Las Vegas Blvd N Ste A-B,89030,5758
737,Sushi Club,294 E Moana Ln,89502,4641
999,Hart's Fine Jewelry,294 E Moana Ln # B-12,89502,4641
2056,Compra venta de baterias y alternadores,2957 Las Vegas Blvd N,89030,5713
1045,sky Nails,2959 E Desert Inn Rd Ste B2,89121,3628
689,Chicali Wheels,2981 E Charleston Blvd,89104,2389
867,Soccer City,299 E Plumb Ln,89502,3449
699,TILE,3 N 28th St,89101,4662
882,CSI DJ & Pearl Audio,3001 E Charleston Blvd,89104,2390
883,Sin City Cigs for Less,3001 E Charleston Blvd Ste C,89104,2390
886,Gloria's Hair Design,3001 E Charleston Blvd Ste D,89104,2390
884,CSI Bail Bonds,3001 E Charleston Blvd Ste E,89104,2390
887,Crane Finance,3001 E Charleston Blvd Ste F,89104,2390
889,Maggy's Fiesta Saloon,3001 E Charleston Blvd Ste G,89104,2390
891,Sunrise Too Donuts,3005 E Charleston Blvd,89104,2310
897,J & J Auto Repair & Body Shop,3008 Contract Ave,89101,4906
1003,RA & Uncut,3011 W Lake Mead Blvd,89032,4887
1972,Azul Beauty Salon,3012 Griswold St,89030,5130
1517,Guardian Angel Catholic Church,302 Cathedral Way,89109,716
899,Guitar Shack,3021 E Charleston Blvd,89104,2324
2104,La Flor de Michoacan - Charleston,3021 E Charleston Blvd Ste B,89104,2324
1249,Big Pau's BBQ,3025 E Desert Inn Rd Ste 1,89121,3814
896,El Guanaco Meximarket,3031 E Charleston Blvd Ste B,89104,2325
903,Kessler & Sons,3047 E Charleston Blvd # C,89104,2310
905,"Iglesia de Dios, Principe de Paz",3049 E Charleston Blvd,89104,2310
1519,Our Lady of Las Vegas Catholic Church,3050 Alta Dr,89107,3202
862,All Dogs Go To Bev,3050 E Desert Inn # 111,89121,    
863,All Dogs Go To Bev,3050 E Desert Inn Rd Ste 111,89121,3872
874,Casa Mexico,3050 E Desert Inn Rd Ste 112,89121,3872
1515,The Church at South Las Vegas,3051 W Horizon Ridge Pkwy,89052,3990
977,Dollar Plus & Mini Mart,3052 Kietzke Ln,89502,4319
850,North Valley Medical Supply,3053 W Craig Ste B,89032,    
2078,Machin Shop,3060 N Nellis Blvd,89115,3440
2085,Venta y Rectificacion de Cilindros de Motores,3060 N Nellis Blvd Ste 8,89115,3441
2072,Auto Servicios Mec?nicos,3071 N Nellis Blvd,89115,3412
1198,China Wok,3073 W Craig Rd Ste 2,89032,5123
1005,Passion Nails,3073 W Craig Rd Ste 7,89032,5123
1425,168 Market,3090 S Virginia St,89502,4251
1974,Las Flores de Michoac?n,3100 E Lake Mead Blvd Ste 17B,89030,7380
1947,Brooks Barber Shop,3100 E Lake Mead Blvd Ste 19A,89030,7380
1965,Reyes Tax Service,3100 E Lake Mead Blvd Ste 4,89030,7380
1156,Sin City Shoes,3108 Las Vegas Blvd N,89115,504
1151,Vegas Shoe Repair,3126 Las Vegas Blvd N,89115,504
1006,Stylez Etc.,3131 W Craig Rd Ste 120,89032,780
1180,A Sudz Coin Laundry,3149 N Rancho Dr,89130,3311
1001,Taste of India,315 E Moana Ln,89502,4627
1528,St. Joan of Arc Catholic Church,315 S Casino Center Blvd,89101,6111
1494,Iglesia De Dios De La Profecia,3150 E Charleston Blvd,89104,6664
1496,Iglesia Cristiana Rey de Gloria Christian Church,318 S 11th St,89101,5527
2074,Mofles y Llantera,3188 N Nellis Blvd,89115,3452
1493,Templo La Hermosa,3230 E Charleston Blvd,89104,6626
1487,Centro Cristiano Asambleas De Dios,3230 E Charleston Blvd Ste 112-115,89104,6626
904,Paul's Neon Signs,3230 E Charleston Blvd Ste 116,89104,6627
1004,Tail Waggers Club,3251 W Craig Rd,89032,786
915,Quick and Clean Car Wash,3265 S Nellis Blvd,89121,2011
1980,Taqueria El Tizon,3266 Las Vegas Blvd N Ste 9,89115,505
1256,Great Buns,3270 E Tropicana Ave,89121,7316
1257,Dorians Cutting Edge,3280 E Tropicana Ave Ste J,89121,7344
1258,Fashion Cleaners,3280 E Tropicana Ave Ste M,89121,7344
1957,Tienda Autl?n,3285 Las Vegas Blvd N,89115,503
1973,Las Vegas Cores LLC,3297 Las Vegas Blvd N Ste 53,89115,503
1963,Bodega Furniture,3297 Las Vegas Blvd N Ste 57,89115,503
1964,Fernandez Auto Parts,3297 Las Vegas Blvd N Ste 63,89115,503
1255,Adahs Hair Castle,3300 E Flamingo Rd,89121,4307
1252,Nails Expo,3300 E Flamingo Rd Ste 19,89121,4398
1253,Planned Parenthood,3300 E Flamingo Rd Ste 25,89121,4398
1086,Planet Fitness,3300 E Flamingo Rd Ste 26,89121,4398
1105,Sportmans Warehouse,3306 Kietzke Ln,89502,4704
1205,Furniture Discounters,3310 Kietzke Ln,89502,4704
813,BSW BEAUTY SUPPLY WAREHOUSE,3310 S Nellis Blvd # 1417,89121,2911
814,AMMARAH AUTO SALES,3310 S Nellis Blvd Ste 12,89121,2975
810,THE FADE SPECIALIST BARBER SHOP,3310 S Nellis Blvd Ste 19,89121,2915
808,AFRICAN CARIBBEAN MARKET,3310 S Nellis Blvd Ste 24,89121,2916
819,SHOES 4 U,3310 S Nellis Blvd Ste 7,89121,2912
929,Queen's Of Glory Hair & Nail Salon,3315 W Craig Rd,89032,5000
1061,Zabos,3318 E Flamingo Rd,89121,7496
761,Happy Lookers,3330 Kietzke Ln,89502,4704
852,El Rancho,3347 E Russell Rd,89120,5402
1110,Cosmoprof Beauty Systems,3358 Kietzke Ln,89502,4704
788,Antojitos Mexican Food,3374 Kietzke Ln,89502,4752
1251,Nail Sense,3375 E Russell Rd Ste 1F,89120,3472
1097,LA Insurance,3395 E Tropicana Ave Ste 10A,89121,7364
1466,Centro Evangalistico Palabra Viva,3415 S Mojave Rd,89121,3818
1976,Reynar Wireless,3416 E Lake Mead Blvd Ste 2,89030,7381
1966,El Arcoiris Farmacia,3416 E Lake Mead Blvd Ste 4,89030,7381
1958,V?squez Multiservicios,3420 E Lake Mead Blvd Ste AN,89030,8799
1975,La Nueva Moda,3424 E Lake Mead Blvd Ste A,89030,8786
1961,Staceys Adornos,3424 E Lake Mead Blvd Ste B,89030,8786
2113,Rojas Produce,3424 E Lake Mead Blvd Ste F,89030,8786
1938,Mario's Beauty Shop,3424 E Lakemead Blvd Ste A,89030,    
1939,Mario's Beauty Shop,3424 E Lakemead Blvd Ste A,89030,    
682,Ilopango,3430 E Tropicana Ave,89121,7335
683,On The Road,3430 E Tropicana Ave,89121,7335
690,Productos Peruanos,3430 E Tropicana Ave,89121,7335
684,Kunchorn Thai Restaurant,3430 E Tropicana Ave Ste 1,89121,7345
688,La Piramide Espirituals,3430 E Tropicana Ave Ste 20,89121,7346
693,Blue Dog Pub,3430 E Tropicana Ave Ste 29,89121,7347
691,Fuji,3430 E Tropicana Ave Ste 30,89121,7347
1465,Centro de Victoria,3430 E Tropicana Ave Ste 42,89121,7348
1243,Dr. Bradley Hopper,3430 E Tropicana Ave Ste 52,89121,7349
692,Sin City Ink,3430 E Tropicana Ave Ste 55,89121,7349
678,Small Town Dog,3430 E Tropicana Ave Ste 65,89121,7349
1218,Flowers by Patti,3430 Lakeside Dr,89509,4854
1238,The Frame Shop,3432 Lakeside Dr,89509,4854
1933,Iglesia De Cristo Ministerios Fresca Union,3433 Ringstar Rd,89030,4474
1182,Velo Reno,3450 Lakeside Dr,89509,4854
744,Lakeside Bar & Grill,3466 Lakeside Dr,89509,4854
980,Lakeside Bar and Grill,3466 Lakeside Dr,89509,4854
746,"High Desert Pool & Spa, Inc.",3470 Lakeside Dr,89509,4854
2016,Pedregal Vestidos para toda occasion social,348 N Nellis Blvd Ste B,89110,5313
1981,Lavanderia Jalisco,3504 E Lake Mead Blvd,89030,7465
